,title,subtitle,link
0,Why VAT on imported softwares does not make any sense,"t goes without saying that this whopping 20% increase in import duty for software is a massive one. Not only does it mean an increased price tag for essential software like Word and Windows OS, but it reduces the accessibility of premium, full versions of such software for local users.",https://www.thedailystar.net/tech-startup/news/why-vat-imported-softwares-does-not-make-any-sense-3341776
1,Cover Story / Creativity: Why does it matter and is it fostered in our workplace?,"In today’s innovation-driven economy, creativity not only enables companies to navigate crises effectively but also empowers them to gain a competitive edge in the cutthroat business landscape.",https://www.thedailystar.net/tech-startup/news/creativity-why-does-it-matter-and-it-fostered-our-workplace-3341701
2,UIU places 1st among Asian teams in University Rover Challenge 2023,"TELOS, a Mars rover prototype and ICARUS, the companion aerial subsystem, developed by the UIU Mars rover team, have recently secured first place in Asia in the University Rover Challenge 2023. ",https://www.thedailystar.net/tech-startup/news/uiu-places-1st-among-asian-teams-university-rover-challenge-2023-3340006
3,Here's why Electric Vehicles are better for the environment,One of the most compelling reasons why electric vehicles are better for the environment is their significantly reduced greenhouse gas emissions compared to internal combustion engine (ICE) vehicles.,https://www.thedailystar.net/tech-startup/news/heres-why-electric-vehicles-are-better-the-environment-3338036
4,The 2024 Acura Integra Type S: The luxurious Civic Type R,"The Acura Integra Type S marks the return of a beloved sports car that captured the hearts of enthusiasts during its initial run. This highly anticipated resurrection promises a fusion of classic design cues, cutting-edge technology, and exhilarating performance.",https://www.thedailystar.net/tech-startup/news/the-2024-acura-integra-type-s-the-luxurious-civic-type-r-3335666
5,Car fluids: What you should know,Here's a quick refresher on the essential car fluids and the basic information you should know about them.,https://www.thedailystar.net/tech-startup/news/car-fluids-what-you-should-know-3329926
6,A complete list of all the cars featured in Fast X,"If you love your family and your cars equally, then the latest iteration of the Fast & Furious franchise will not leave you disappointed.",https://www.thedailystar.net/tech-startup/news/complete-list-all-the-cars-featured-fast-x-3327046
7,The all-new and improved Porsche: 718 Spyder RS,"The latest addition to Porsche's 718 lineup promises to deliver an exhilarating driving experience like no other, equivalent to the 718 Cayman GT4 RS.",https://www.thedailystar.net/tech-startup/news/the-all-new-and-improved-porsche-718-spyder-rs-3324056
8,General Motors to recall 1 mln vehicles due to faulty airbags,General Motors has recently stated that it will recall nearly 1 million sports vehicles in the United States due to faulty airbags.,https://www.thedailystar.net/tech-startup/news/general-motors-recall-1-mln-vehicles-due-faulty-airbags-3318821
9,Maintaining cars during extreme summer heat,Those who commute every day will also often find that cars tend to get heated quickly when under the extreme summer heat. Here are some basic maintenance tips to keep in mind to keep your car cool even during summer.,https://www.thedailystar.net/tech-startup/news/maintaining-cars-during-extreme-summer-heat-3317516
10,Glanza V: the hot hatch from the late 90s,"This particular Glanza V, owned by local car enthusiast Momtahin Hassan Ingit, was restored from the ground up. The sporty design with the side skirts, trunk spoiler and hood scoop makes it as evergreen as it can get.",https://www.thedailystar.net/tech-startup/news/glanza-v-the-hot-hatch-the-late-90s-3310966
11,China launches mission with first civilian to space station,"China sent three astronauts to its Tiangong space station today, putting a civilian into orbit for the first time as it pursues plans to send a crewed mission to the Moon by the end of the decade..The world's second-largest economy has invested billions of dollars in its military-run space",https://www.thedailystar.net/news/asia/china/news/china-launches-mission-first-civilian-space-station-3333186
12,Japan firm fails in historic Moon bid,Japanese start-up ispace conceded Wednesday its ambitious attempt to become the first private company to land on the Moon had failed but pledged to move ahead with new missions.,https://www.thedailystar.net/tech-startup/outer-space/news/japan-firm-fails-historic-moon-bid-3304746
13,NASA announces the first woman and first African-American astronaut on manned moon mission,"NASA has recently announced the four members joining the crewed mission to the moon on Artemis II, the first of its kind since the Apollo program.",https://www.thedailystar.net/tech-startup/news/nasa-announces-the-first-woman-and-first-african-american-astronaut-manned-moon-mission-3288486
14,First 3D-printed rocket lifts off but fails to reach orbit,"The world's first 3D-printed rocket launched successfully on Wednesday, marking a step forward for the California company behind the innovative spacecraft, though it failed to reach orbit",https://www.thedailystar.net/tech-startup/outer-space/news/first-3d-printed-rocket-lifts-fails-reach-orbit-3278611
15,Take photos of planets with telescopes in Dhaka,"During the event, attendants can look at the moon and planets through telescopes and also connect their smartphones to the telescopes and take pictures of nebulae and galaxies.",https://www.thedailystar.net/tech-startup/news/take-photos-planets-telescopes-dhaka-3265466
16,Russian Soyuz spacecraft docks at ISS to bring back stranded crew,"The Soyuz MS-23, which lifted off from Baikonour space centre in Kazakhstan on Friday, is to bring back Russian cosmonauts Sergey Prokopyev and Dmitry Petelin, and US astronaut Francisco Rubio in September",https://www.thedailystar.net/tech-startup/outer-space/news/russian-soyuz-spacecraft-docks-iss-bring-back-stranded-crew-3257626
17,Saudi Arabia to send its first woman into space,"Rayyana Barnawi will join fellow Saudi male astronaut Ali Al-Qarni on a mission to the International Space Station (ISS) ""during the second quarter of 2023"", the official Saudi Press Agency said on Sunday.",https://www.thedailystar.net/tech-startup/outer-space/news/saudi-arabia-send-its-first-woman-space-3246726
18,Hubble captures mysterious ‘spokes’ gliding across Saturn’s rings,"The return of the spokes is one of the earliest signs that Saturn is entering a new season as it approaches the autumnal equinox of its northern hemisphere, which is expected to occur on May 6, 2025, for the first time in about 15 years.",https://www.thedailystar.net/tech-startup/outer-space/news/hubble-captures-mysterious-spokes-gliding-across-saturns-rings-3246696
19,Tk 100 crore to be allocated for skill development of youth and women,The finance minister presented the new budget for the fiscal year 2023-2024 in the parliament on Thursday.,https://www.thedailystar.net/tech-startup/news/tk-100-crore-be-allocated-skill-development-youth-and-women-3335196
20,Bangladesh Bank's AI-based credit rating system to spot fake borrowers,"Bangladesh Bank is planning on launching a digital bank with an AI-based credit rating system, as per Finance Minister AHM Mustafa Kamal in his latest proposal for the National Budget 2023-24. ",https://www.thedailystar.net/tech-startup/news/bangladesh-banks-ai-based-credit-rating-system-spot-fake-borrowers-3335186
21,Government plans to fully digitise information and services,"The government is planning on digitising 80% of information and processes on government services by 2023 and 100% by 2025, as per Finance Minister AHM Mustafa Kamal in his latest proposal of the National Budget 2023-24.",https://www.thedailystar.net/tech-startup/news/government-plans-fully-digitise-information-and-services-3335166
22,Imported software likely to get costlier,The prices of imported software are set to increase after Finance Minister AHM Mustafa Kamal proposed to increase the import duty from 5% to 25% on imported software in the proposed budget for the next fiscal year 2023-24.,https://www.thedailystar.net/tech-startup/news/imported-software-likely-get-costlier-3335146
23,TikTok sues Montana after state bans app,TikTok on Monday filed suit in US federal court to stop the state of Montana from implementing an overall ban on the video-sharing app,https://www.thedailystar.net/tech-startup/science-gadgets-and-tech/tech-news/news/tiktok-sues-montana-after-state-bans-app-3327186
24,Montana to become first US state to ban TikTok,Montana Governor Greg Gianforte on Wednesday signed legislation to ban Chinese-owned TikTok from operating in the state to protect residents from alleged intelligence gathering by China,https://www.thedailystar.net/tech-startup/science-gadgets-and-tech/tech-news/news/montana-become-first-us-state-ban-tiktok-3323116
25,Netflix says ad-supported plan has nearly 5 million users,Netflix on Wednesday wooed marketers with word that its nascent ad-supported plan has grown to nearly five million users globally,https://www.thedailystar.net/tech-startup/science-gadgets-and-tech/tech-news/news/netflix-says-ad-supported-plan-has-nearly-5-million-users-3323096
26,OpenAI chief concerned about AI being used to compromise elections,"The CEO of OpenAI, the startup behind ChatGPT, told a Senate panel on Tuesday the use of artificial intelligence to interfere with election integrity is a ""significant area of concern"", adding that it needs regulation..""I am nervous about it,"" CEO Sam Altman said about elections and AI, ad",https://www.thedailystar.net/tech-startup/science-gadgets-and-tech/tech-news/news/openai-chief-concerned-about-ai-being-used-compromise-elections-3322221
